model,theta,path_index,path_phase,levels,maximum_depth,target_only_budget,anchored_budget,nuisance_total_variation,minimum_visibility,known_fisher,anchored_efficient_fisher,unanchored_efficient_fisher,stationary_unknown_fisher,anchor_efficiency_fraction,known_local_error,anchored_local_error
gate,0.231,1,0.73,7,127,31616,63232,0.012,0.07447312455389411,294980.7888561628,248262.8484575434,5.837819117004983e-11,3461871.9807792194,0.8416237864852962,0.0018412091888652135,0.0020069850294863103
gate,0.231,1,0.73,8,255,64256,128512,0.012000000000000007,0.005461614602417379,315345.9787246083,267703.61796765856,5.2011728257639334e-11,13062080.214587415,0.8489203478996767,0.0017807639344108955,0.001932737529069622
gate,0.231,1,0.73,9,511,129664,259328,0.012,2.9590661280818125e-05,347115.0927068309,295315.6787121048,1.4779288903810084e-11,17406203.79421481,0.8507716458227438,0.0016973181343789988,0.0018401649212705833
gate,0.231,2,1.31,3,7,1408,2816,0.012,0.895380906088601,5394.409092751833,4911.862333321316,0.0,3761.2294640877167,0.9105468734140153,0.01361532651001522,0.014268453587933688
gate,0.231,2,1.31,4,15,3328,6656,0.012,0.7584216761003348,43124.329383368524,31399.461444979148,0.0,52174.58191528103,0.7281147763677172,0.004815471565145256,0.005643374876023776
gate,0.231,2,1.31,5,31,7296,14592,0.011999999999999997,0.5756843667974634,197210.99876082176,182996.414933933,5.832134775118902e-11,373578.34120303043,0.9279219520401686,0.002251823949085418,0.0023376458090273488
gate,0.231,2,1.31,6,63,15360,30720,0.012,0.30983597759552034,276619.7645924004,229013.549859598,5.098854671814479e-11,936297.4905384356,0.8279001690173866,0.0019013339207622916,0.002089630077172702
gate,0.231,2,1.31,7,127,31616,63232,0.012,0.09620709393650895,302220.7304559253,253717.96331254195,5.098854671814479e-11,3432872.666206468,0.839512110667548,0.001819021677115736,0.001985291996388794
gate,0.231,2,1.31,8,255,64256,128512,0.012000000000000004,0.00872576258852221,292429.2388054353,246443.34712902148,5.474021236295812e-11,12819743.932509162,0.8427452334648039,0.0018492243485094641,0.0020143802311676524
gate,0.231,2,1.31,9,511,129664,259328,0.011999999999999997,7.571823413013621e-05,310633.00503981207,262843.0676753223,4.376943252282217e-11,16999305.141617928,0.8461530597549838,0.0017942220969877078,0.0019505259670099641
