trial,pair_budget,best_gap,fraction_of_optimum
82,256,0.010395677164022232,0.9909770872577338
82,1024,0.010395677164022232,0.9909770872577338
83,16,0.0033043075392324983,0.31498602822766425
83,64,0.004989205411698561,0.4756004028026768
83,256,0.0052984311047811206,0.5050776145130148
83,1024,0.01027311491455507,0.979293732814498
84,16,0.00037428228265057317,0.035678788444574255
84,64,0.000757450849807495,0.07220466979110216
84,256,0.005550576078239833,0.5291135563205915
84,1024,0.010395677164022232,0.9909770872577338
85,16,0.0027572086424382247,0.2628333437384377
85,64,0.010490324380893368,0.9999994166175386
85,256,0.010490324380893368,0.9999994166175386
85,1024,0.010490324380893368,0.9999994166175386
86,16,0.0013006744427350725,0.1239879375239727
86,64,0.005124193824301848,0.4884682921979063
86,256,0.005533363338721897,0.5274727367566441
86,1024,0.010490330500767975,0.9999999999999788
87,16,0.005278954420400606,0.5032209824098519
87,64,0.005278954420400606,0.5032209824098519
87,256,0.005278954420400606,0.5032209824098519
87,1024,0.010397462192023199,0.9911472466250518
88,16,0.004547946626969668,0.4335370202718233
88,64,0.005192827740094885,0.4950108807072017
88,256,0.010289671599730932,0.9808720134201138
88,1024,0.01049032438089359,0.9999994166175598
89,16,0.0012730805382642485,0.12135752426208327
89,64,0.0026042226348232944,0.24824981773763846
89,256,0.010054674235816963,0.9584706826043916
89,1024,0.010444822405404564,0.9956619007036718
90,16,0.0003836073468187484,0.03656770840448327
90,64,0.0026042226348230724,0.24824981773761728
90,256,0.005397357287664106,0.5145078400789054
90,1024,0.010268865268514893,0.9788886315605513
91,16,0.001789858676008671,0.17061985567352728
91,64,0.010268865268515559,0.9788886315606148
91,256,0.010391404443692798,0.9905697864268285
91,1024,0.010391404443692798,0.9905697864268285
92,16,0.0003645467517674472,0.0347507403833227
92,64,0.0053346211118470155,0.5085274588304312
92,256,0.00546122538499505,0.5205961227432376
92,1024,0.010402450326985724,0.9916227449863436
93,16,0.00404475167022178,0.38556951755958374
93,64,0.005305135697849517,0.5057167357559447
93,256,0.0056190348239648635,0.5356394465887788
93,1024,0.01046643871233377,0.9977224942119147
94,16,0.004561384581177275,0.4348180050993864
94,64,0.005290760675412232,0.5043464240735593
94,256,0.010368595378173251,0.9883954921547962
94,1024,0.010466425136687274,0.9977212001014485
95,16,0.0054488561335582775,0.5194170129491404
95,64,0.0054488561335582775,0.5194170129491404
95,256,0.0054488561335582775,0.5194170129491404
95,1024,0.01039558608654556,0.9909684052170046
96,16,0.0009249620004485593,0.08817281785171832
96,64,0.0011897634573388993,0.11341525009643634
96,256,0.010261472313089826,0.9781838915693255
96,1024,0.010365133828514339,0.9880655168829343
97,16,0.0024279474562310943,0.23144623098893768
97,64,0.010296730024917045,0.9815448640214934
97,256,0.010296730024917045,0.9815448640214934
97,1024,0.010374483279702695,0.988956761557034
98,16,0.0027242790095374225,0.2596942974616411
98,64,0.004600653107073915,0.4385613119374088
98,256,0.010188792324927753,0.9712556076456922
98,1024,0.01046596084959639,0.9976769415253387
99,16,0.004670492305948293,0.4452187951186359
99,64,0.005561986396099172,0.5302012549263222
99,256,0.010392376970208117,0.9906624933739784
99,1024,0.010392376970208117,0.9906624933739784
100,16,0.0011982617762114067,0.11422535983243418
100,64,0.00565988144880103,0.5395331870989729
100,256,0.010467820300721353,0.9978541953425399
100,1024,0.010467820300721353,0.9978541953425399
101,16,0.0013108046254173278,0.1249536061157786
101,64,0.0042118421839102416,0.40149756803199027
101,256,0.010467347374453428,0.9978091132292652
101,1024,0.010467347374453428,0.9978091132292652
102,16,0.0012510613019255379,0.11925852115278197
102,64,0.003867662658309068,0.36868835143238265
102,256,0.010396582852274738,0.9910634227885772
102,1024,0.010396582852274738,0.9910634227885772
103,16,0.010466425136687274,0.9977212001014485
103,64,0.010466425136687274,0.9977212001014485
103,256,0.010466425136687274,0.9977212001014485
103,1024,0.01046643871233377,0.9977224942119147
104,16,0.0013149027589599571,0.1253442643073703
104,64,0.004619732794379772,0.4403800999445607
104,256,0.0052339026443091186,0.4989263821502902
104,1024,0.010369383474553961,0.9884706181368281
105,16,0.0027936213382842023,0.26630441606006866
105,64,0.0027936213382842023,0.26630441606006866
105,256,0.010168736011916368,0.9693437219324712
105,1024,0.010490316439058511,0.9999986595551318
106,16,0.003272275683066428,0.3119325633093068
106,64,0.005331771302543253,0.508255798247044
106,256,0.010054674235816963,0.9584706826043916
106,1024,0.01046643871233377,0.9977224942119147
107,16,0.0011951652421378078,0.11393017999292654
107,64,0.004436679226472506,0.42293035726068046
107,256,0.005327912531318368,0.5078879574793388
107,1024,0.010309671738195192,0.9827785442451241
108,16,0.010307744045956024,0.9825947852835712
108,64,0.010389469731477363,0.9903853582798514
108,256,0.010389469731477363,0.9903853582798514
108,1024,0.010442128094322989,0.9954050631253536
