case,qubits,setting,bond,cutoff,schedule,method,ordering,p_bks_exact,p_bks_mps,actual_bks_error,true_tvd,epsilon_mps,certificate_slack_bks,certificate_slack_tvd,number_of_truncations,sum_discarded_weight,max_discarded_weight,max_bond_seen,runtime_seconds,peak_memory_bytes,circuit_sha256,raw_log_path
football,7,bond128,128,1e-12,MR,prior_matched_random,sorted,0.8820366866508706,0.8820366866994563,4.858569102594856e-11,1.2929715255431913e-10,0.0,-4.858569102594856e-11,-1.2929715255431913e-10,0,0,0.0,8,0.01727120002033189,95408128,769b1bd4951dc0bbaf323209e3ea97e056cf3b3f338a3c7a54850ca6a1eb885d,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\football__bond128__prior_matched_random__sorted.mps.log
football,7,bond128,128,1e-12,MR,prior_matched_random,spectral,0.8820366866508698,0.8820366867039678,5.309808148723505e-11,2.1590992188442247e-10,0.0,-5.309808148723505e-11,-2.1590992188442247e-10,0,0,0.0,8,0.016464099986478686,95199232,49f11250c9649cf1d9f9885652767f4884c681083deebd0fc3b92443f8dc3deb,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\football__bond128__prior_matched_random__spectral.mps.log
football,7,confirm,128,0.0001,LR,published_lr,sorted,0.8627678117715563,0.8634577772877989,0.0006899655162426743,0.007860552783679347,0.7402674269820715,0.7395774614658288,0.7324068741983921,163,0.005607330893353377,9.99085e-05,8,0.017114899994339794,95379456,093e3201a84d816685dd2caa55a1d3dfdb2e7ec0acbc1e7e1ccb81e6a8c82533,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\football__confirm__published_lr__sorted.mps.log
football,7,confirm,128,0.0001,LR,published_lr,spectral,0.8627678117715568,0.8631528783755974,0.0003850666040405848,0.007546582451731409,0.6695349528786678,0.6691498862746272,0.6619883704269364,165,0.0044545135886,9.66369e-05,8,0.015599399979691952,95637504,aba61caf0209628f8fadd3af3bb5a6a6b44ca8c3f4ddc10dae649062e2d05dbe,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\football__confirm__published_lr__spectral.mps.log
football,7,confirm,128,0.0001,MR,prior_matched_random,sorted,0.8820366866508706,0.882650191093082,0.0006135044422113101,0.005328806366010425,0.4454132442151122,0.4447997397729009,0.4400844378491018,76,0.003237154366431,9.88094e-05,8,0.01722069998504594,95621120,769b1bd4951dc0bbaf323209e3ea97e056cf3b3f338a3c7a54850ca6a1eb885d,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\football__confirm__prior_matched_random__sorted.mps.log
football,7,confirm,128,0.0001,MR,prior_matched_random,spectral,0.8820366866508698,0.883748022460414,0.00171133580954419,0.00837206324288474,0.4116220532245909,0.4099107174150467,0.40324998998170614,74,0.002933604984,9.72093e-05,8,0.015866100031416863,95600640,49f11250c9649cf1d9f9885652767f4884c681083deebd0fc3b92443f8dc3deb,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\football__confirm__prior_matched_random__spectral.mps.log
football,7,cutoff1e-4,1024,0.0001,LR,published_lr,sorted,0.8627678117715563,0.8634577772877989,0.0006899655162426743,0.007860552783679347,0.7402674269820715,0.7395774614658288,0.7324068741983921,163,0.005607330893353377,9.99085e-05,8,0.01732420001644641,95797248,093e3201a84d816685dd2caa55a1d3dfdb2e7ec0acbc1e7e1ccb81e6a8c82533,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\football__cutoff1e-4__published_lr__sorted.mps.log
football,7,cutoff1e-4,1024,0.0001,LR,published_lr,spectral,0.8627678117715568,0.8631528783755974,0.0003850666040405848,0.007546582451731409,0.6695349528786678,0.6691498862746272,0.6619883704269364,165,0.0044545135886,9.66369e-05,8,0.015621100028511137,95260672,aba61caf0209628f8fadd3af3bb5a6a6b44ca8c3f4ddc10dae649062e2d05dbe,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\football__cutoff1e-4__published_lr__spectral.mps.log
football,7,cutoff1e-4,1024,0.0001,MR,prior_matched_random,sorted,0.8820366866508706,0.882650191093082,0.0006135044422113101,0.005328806366010425,0.4454132442151122,0.4447997397729009,0.4400844378491018,76,0.003237154366431,9.88094e-05,8,0.01764620002359152,95506432,769b1bd4951dc0bbaf323209e3ea97e056cf3b3f338a3c7a54850ca6a1eb885d,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\football__cutoff1e-4__prior_matched_random__sorted.mps.log
football,7,cutoff1e-4,1024,0.0001,MR,prior_matched_random,spectral,0.8820366866508698,0.883748022460414,0.00171133580954419,0.00837206324288474,0.4116220532245909,0.4099107174150467,0.40324998998170614,74,0.002933604984,9.72093e-05,8,0.015720699972007424,95088640,49f11250c9649cf1d9f9885652767f4884c681083deebd0fc3b92443f8dc3deb,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\football__cutoff1e-4__prior_matched_random__spectral.mps.log
