job,model,mode,target_mask,seed,optimization_grid,midpoint_substeps_2,midpoint_substeps_4,midpoint_substeps_8,midpoint_substeps_16,midpoint_substeps_32,midpoint_substeps_64,adaptive_ode_reference,optimization_minus_reference,full_c6_adaptive_ode_transfer
hard_blockade_projected_c6:gradient_mask:target_10,hard_blockade_projected_c6,gradient_mask,10,4102,0.9999771118164062,0.9999701433036509,0.20132434707671193,0.03889203277063978,0.03130262419591151,0.029050512534716334,0.02849582112906109,0.02831185741486984,0.9716652544015364,0.027446114863612585
hard_blockade_projected_c6:gradient_mask:target_10,hard_blockade_projected_c6,gradient_mask,10,4103,0.9887182116508484,0.9886607971268462,0.6725559414375112,0.6716922682615352,0.6632967382575634,0.6611290458619589,0.6605833054444947,0.660401062972636,0.3283171486782124,0.6398366753250389
hard_blockade_projected_c6:gradient_mask:target_10,hard_blockade_projected_c6,gradient_mask,10,4104,1.0000882148742676,0.9999999811477972,0.3859430987429391,0.42082773219450204,0.4098213399538294,0.4067096929115896,0.4059138445420144,0.40564706004691964,0.5944411548273479,0.433160413880551
hard_blockade_projected_c6:gradient_mask:target_10,hard_blockade_projected_c6,gradient_mask,10,4105,0.9999189376831055,0.9998929145762072,0.25118443268717716,0.1368984570202046,0.11540749678629891,0.1106903204385427,0.10954789414030044,0.10917028603970454,0.8907486516434009,0.09815443618731798
hard_blockade_projected_c6:gradient_mask:target_5,hard_blockade_projected_c6,gradient_mask,5,4100,1.0000429153442383,0.999993841208065,0.5315057918926331,0.4810233381400808,0.46828324658751463,0.46497271520623357,0.4641413409677586,0.46386394451626617,0.5361789708279721,0.48017462848248715
hard_blockade_projected_c6:gradient_mask:target_5,hard_blockade_projected_c6,gradient_mask,5,4101,0.9999669790267944,0.9999457948573205,0.5560533008522752,0.38639580936665097,0.3593230688519349,0.35278186031083053,0.3511609704144273,0.3506219554671788,0.6493450235596157,0.35391028032293614
hard_blockade_projected_c6:gradient_mask:target_5,hard_blockade_projected_c6,gradient_mask,5,4102,1.000040054321289,0.9999964941199938,0.6079210436480134,0.5131935638153393,0.48236047182308095,0.4745338100137389,0.47257124040343546,0.4719165557264209,0.5281234985948682,0.4560921784731916
hard_blockade_projected_c6:gradient_mask:target_5,hard_blockade_projected_c6,gradient_mask,5,4103,0.9996562004089355,0.9996173322246724,0.1777898530839234,0.04431094477373951,0.028400837355507063,0.02506970437200225,0.02427632229572491,0.024015342078328714,0.9756408583306069,0.02578161882649636
hard_blockade_projected_c6:gradient_mask:target_5,hard_blockade_projected_c6,gradient_mask,5,4104,1.0000147819519043,0.9999864951273592,0.5317169795425725,0.42844958482789275,0.4052415709087823,0.39961434014229325,0.3982178381416654,0.39775324354371916,0.6022615384081851,0.41254614502719655
hard_blockade_projected_c6:gradient_mask:target_5,hard_blockade_projected_c6,gradient_mask,5,4105,1.000030517578125,0.9999837473025626,0.1839447403645893,0.07512596574731624,0.055436914228785515,0.05118693951539305,0.05016210718557571,0.04982376547837865,0.9502067520997464,0.04480115764224764
