method,replicate,evaluation,params,score,approximation_ratio_unconditional,optimal_probability,feasible_probability,expected_feasible_size_unconditional,expected_size_given_feasible
random_search,1,209,"[2.110590691653297, 1.3265161996983927, 1.1858123735316495, 4.860208969633926, 0.01895788763844623]",0.0022441090622940607,0.0018135144017059229,0.0002728579731212897,0.0036238016730781564,0.0072540576068236915,2.001781074476379
random_search,1,210,"[1.7017636262482503, 2.235950365291366, 1.231140149082825, 2.1125212383383873, 4.503087679883824]",0.002141450197273941,0.001754496893673333,0.0003832340258333107,0.0029114479714228048,0.007017987574693332,2.4104801609295765
random_search,1,211,"[1.2099415576159969, 1.5187029345666112, 1.1022187961494023, 4.622830384374855, 1.5119505034501532]",0.0003409978124124698,0.0002812178313805698,2.0618691525806566e-05,0.000546253081504484,0.0011248713255222792,2.059249391187271
random_search,1,212,"[2.9808884463393017, 0.5082541776841679, 1.1571859932669157, 4.827197813424481, 0.8481512294419432]",0.0011969919186399728,0.000984835605025566,0.00019550352345692557,0.0016328043275017528,0.003939342420102264,2.4126237012916265
random_search,1,213,"[1.349660841055932, 2.9461303631976734, 1.7231840902329911, 3.89096020001622, 5.179645755005013]",0.005873874637267612,0.00481553916854027,0.0015233643573222915,0.006774943793967691,0.01926215667416108,2.8431463433411532
random_search,1,214,"[3.1367642625654435, 1.7401271526661353, 2.9134928614104862, 2.9372354884996548, 0.7794591335565609]",0.0006510365707705904,0.0005419679212760094,0.00011426135038368944,0.0008050331189865855,0.0021678716851040378,2.6928975143694203
random_search,1,215,"[3.410386054927897, 2.980945113796756, 2.9169299151270422, 4.718637751006874, 1.5049863294450758]",0.001376461710138449,0.0011190578652316343,0.000140205763074248,0.002223524041382526,0.004476231460926537,2.0131248314020205
random_search,1,216,"[3.2056311280227554, 0.6884116740808732, 1.189973383855285, 3.2737260961797636, 1.5637125581054163]",0.0015977491447021518,0.0013161889353296146,0.00011187650273566836,0.0025359108368862007,0.005264755741318458,2.0760807772654015
random_search,1,217,"[3.063514935751593, 1.8775393018232465, 0.9131889122022457, 1.9224583724498587, 3.00743856772509]",0.0006635600287575979,0.0005425975622520034,0.0001326484967321411,0.0008780034232255911,0.0021703902490080138,2.4719610329473185
random_search,1,218,"[3.718975165968984, 2.105321460103013, 2.7992736136226086, 1.869448775241067, 4.285641121370643]",0.01566760996481138,0.012684846536026776,0.003971852931722829,0.019898001958538962,0.050739386144107106,2.549973924509188
random_search,1,219,"[1.1951563602760564, 1.0350138321097015, 1.3515975074174722, 2.2208961313605697, 2.682994564970791]",0.002365232071851463,0.0019144633174392927,0.0005244328406284867,0.003196605442550485,0.007657853269757171,2.39562041903025
random_search,1,220,"[1.961849501143873, 1.4436341001890998, 2.749853912847397, 1.981156107286303, 4.685024517470066]",0.0011846331345620224,0.0009949404135822606,0.0001416296515446399,0.001542853080936018,0.003979761654329042,2.579481937395232
random_search,1,221,"[3.3561957314847, 1.4676626475029284, 2.6798423452316102, 2.542188469306998, 2.5586173737555753]",0.0008951835483488514,0.000736935052215013,0.00010134183421855818,0.0013291303757919889,0.002947740208860052,2.2177961338845953
random_search,1,222,"[3.407675398946691, 1.1894023475678253, 2.285322579444372, 1.736429939229192, 4.189094158523179]",0.0023256424520175715,0.0019389362385443915,0.000397378588264305,0.002873615664071038,0.007755744954177566,2.6989499852565664
random_search,1,223,"[3.693015420743844, 0.5149214979413839, 0.9283817591722334, 1.0076155297604206, 2.0181488129598217]",0.0031194493672982,0.0025496064754418693,0.0008407847372669127,0.003596467075396022,0.010198425901767477,2.8356789282283326
random_search,1,224,"[2.0639836969887146, 0.57098405801571, 1.0418425262770055, 1.2756022417453672, 0.8884876934709467]",0.0019419489457696824,0.0016035033272312627,0.00028563963857934323,0.002670357088935839,0.006414013308925051,2.401930938562637
random_search,1,225,"[3.8837133871226417, 3.1100844872594497, 0.06628071362906846, 3.965764495852389, 1.8571733897303466]",0.0007734895121565709,0.0006351420731588457,0.00010493131572745186,0.0011211461006586211,0.002540568292635383,2.266045693012639
random_search,1,226,"[3.501029067313822, 2.990556505384338, 0.0014013079724225005, 2.5104574820038863, 3.8234094855931615]",0.0015342834329720055,0.0012609319350022808,0.0002604385437429469,0.0020824186203398805,0.005043727740009123,2.422052747101308
random_search,1,227,"[3.843231134080205, 0.6595019849043524, 1.1818773550091772, 2.4934340989076644, 2.737868504742069]",0.002081027015547785,0.001741978085934319,0.0002725536750728574,0.002709105108452517,0.006967912343737276,2.572034699575557
random_search,1,228,"[2.959297177609325, 0.2481737654203474, 0.9169493418107832, 0.5447798010694223, 4.187058592560681]",0.0013705563990977045,0.0011219826137814364,0.0003330421146020564,0.0016531325666575398,0.0044879304551257455,2.714803728172792
random_search,1,229,"[2.754598143235417, 3.1369699019828547, 0.15913521824532686, 1.702201444310046, 5.645068666594577]",0.000440636411921287,0.000354369733529903,7.245408929777705e-05,0.0006815315606693975,0.001417478934119612,2.0798434231385703
random_search,1,230,"[2.1279373229440868, 1.0166229551206503, 3.04364299239686, 1.6727930260005959, 0.6662086388395865]",0.001291094446447404,0.0010771305856280462,0.00018877569655122088,0.0016676993668155267,0.004308522342512185,2.583512609193653
random_search,1,231,"[2.6391285409393124, 1.5337828584950497, 2.70411924554327, 2.6495386918133743, 2.213248135440564]",1.4097236718952407e-05,1.168895479858119e-05,2.8538574350224843e-06,1.6948175616155943e-05,4.675581919432476e-05,2.7587523432170786
random_search,1,232,"[2.014660616074523, 0.1083080327601558, 0.5044890924043604, 2.9770822155257535, 1.6759086366862457]",0.0002886498806108436,0.00023135021863841153,9.532391166686523e-05,0.00033468684055715735,0.0009254008745536461,2.764975381204471
