estimator,theta,curvature,depth,duration,physical_depth_budget,trials,bias,deterministic_bias,rmse,median_absolute_error,q90_absolute_error,crossover_xi,normalized_absolute_deterministic_bias
amplified_rtr,0.173,1e-06,1,1.0,1536,4096,-0.0001975602753729597,-5e-07,0.0401472918960945,0.027091133837277126,0.06535748445971361,1e-06,5e-07
amplified_rtr,0.173,1e-06,3,3.0,4608,4096,0.00038292863347282947,-4.5e-06,0.011771660556797315,0.007944963998157514,0.01926074022083296,2.7e-05,1.35e-05
amplified_rtr,0.173,1e-06,7,7.0,10752,4096,-0.00012230355263749172,-2.4499999999999996e-05,0.005176061787905508,0.003527296240452407,0.00853048014779223,0.000343,0.00017149999999999997
amplified_rtr,0.173,1e-06,15,15.0,23040,4096,-0.00015985969988342762,-0.0001125,0.002538064874293285,0.00172322424255629,0.004184170016879679,0.003375,0.0016875
amplified_rtr,0.173,1e-06,31,31.0,47616,4096,-0.0004932399733352023,-0.00048049999999999986,0.0013310668375076057,0.0009236726980256793,0.0021776289640088736,0.029790999999999998,0.014895499999999996
amplified_rtr,0.173,1e-06,63,63.0,96768,4096,-0.001966553552868665,-0.0019844999999999997,0.0020689657429026204,0.0019738911353446437,0.0027688999294394057,0.25004699999999996,0.12502349999999998
amplified_rtr,0.173,1e-06,127,127.0,195072,4096,-0.008069183987220441,-0.0080645,0.0080752818217037,0.00806382645631,0.00847121798726995,2.048383,1.0241915000000001
amplified_rtr,0.173,1e-06,255,255.0,391680,4096,-0.03251163616621018,-0.0325125,0.03251205847225835,0.03251086644619858,0.032724821976617274,16.581374999999998,8.2906875
direct_depth1_equal_cost,0.173,0.0,1,1.0,1536,4096,0.0005196238643128161,0.0,0.03889715034949577,0.025222823630079536,0.06487008200069116,0.0,0.0
direct_depth1_equal_cost,0.173,0.0,3,1.0,4608,4096,-0.0007047603494038711,0.0,0.02284399505589865,0.015757191111589713,0.037334678373991986,0.0,0.0
direct_depth1_equal_cost,0.173,0.0,7,1.0,10752,4096,-0.0004073830969041336,0.0,0.014753382591044004,0.009904462061587155,0.024087443529456243,0.0,0.0
direct_depth1_equal_cost,0.173,0.0,15,1.0,23040,4096,-0.0002804146498883135,0.0,0.010214846212500163,0.006835453354201451,0.016794341458446216,0.0,0.0
direct_depth1_equal_cost,0.173,0.0,31,1.0,47616,4096,-5.344262232143531e-05,0.0,0.007168353074014505,0.004886373797317281,0.011708456650145083,0.0,0.0
direct_depth1_equal_cost,0.173,0.0,63,1.0,96768,4096,0.0001280311316708466,0.0,0.004992097452479247,0.003370980249254224,0.008290236923173391,0.0,0.0
direct_depth1_equal_cost,0.173,0.0,127,1.0,195072,4096,-3.585638391265219e-05,0.0,0.003491379104534123,0.002343583496123583,0.005639088819917273,0.0,0.0
direct_depth1_equal_cost,0.173,0.0,255,1.0,391680,4096,1.2865380565075817e-05,0.0,0.0024859456837327404,0.0015961637467241385,0.00408703908745954,0.0,0.0
amplified_rtr,0.231,0.0,1,1.0,1536,4096,-0.0009599680081557333,0.0,0.03836477158409946,0.025922391227284874,0.06323938560026351,0.0,0.0
amplified_rtr,0.231,0.0,3,3.0,4608,4096,0.00039900922637433353,0.0,0.012900898032513347,0.008718797573709747,0.020926920615678177,0.0,0.0
amplified_rtr,0.231,0.0,7,7.0,10752,4096,6.394653807108831e-05,0.0,0.00599556361628322,0.004118968846760662,0.009920854054427414,0.0,0.0
amplified_rtr,0.231,0.0,15,15.0,23040,4096,-3.1364119252299496e-05,0.0,0.0023844824633445704,0.0016294362901419362,0.0038954969098832087,0.0,0.0
amplified_rtr,0.231,0.0,31,31.0,47616,4096,6.846043072692855e-06,0.0,0.001250374908769037,0.000837523778087032,0.002052632955289152,0.0,0.0
amplified_rtr,0.231,0.0,63,63.0,96768,4096,-3.684826099060151e-06,0.0,0.0005878012527922568,0.0003919682740747277,0.0009549599172950229,0.0,0.0
amplified_rtr,0.231,0.0,127,127.0,195072,4096,-1.4436621239030483e-06,0.0,0.00028121628458506237,0.0001858814824599736,0.00046383297269017576,0.0,0.0
amplified_rtr,0.231,0.0,255,255.0,391680,4096,-1.8801330294095458e-06,0.0,0.00015880336017611666,0.00010601267889681631,0.00026343895504898907,0.0,0.0
amplified_rtr,0.231,1e-09,1,1.0,1536,4096,0.0016932583482943248,-5e-10,0.038174314480227685,0.02576307776384204,0.062057476587643184,1e-09,5e-10
amplified_rtr,0.231,1e-09,3,3.0,4608,4096,0.0001248955108140579,-4.500000000000001e-09,0.012836065737766751,0.008670668985275173,0.02113571245645915,2.7e-08,1.3500000000000002e-08
amplified_rtr,0.231,1e-09,7,7.0,10752,4096,-8.555473383160528e-05,-2.45e-08,0.00607062442895495,0.004132189784969306,0.009977305228147063,3.4300000000000004e-07,1.7150000000000002e-07
amplified_rtr,0.231,1e-09,15,15.0,23040,4096,3.0520613348010204e-05,-1.1250000000000002e-07,0.0023913175603147304,0.0016036866327061722,0.003919117931058647,3.3750000000000003e-06,1.6875000000000004e-06
amplified_rtr,0.231,1e-09,31,31.0,47616,4096,-4.076073201598146e-05,-4.805e-07,0.0012425919064830966,0.0008216435920287563,0.0020320774132772806,2.9791000000000003e-05,1.48955e-05
