reduction_index,source,graph6,reduced_graph6,n,leaf,neighbour,coverage,total_time,screen_steps,original_success,reduced_success,absolute_difference
317,atlas,FsNA?,Dr_,7,6,1,1.0,10.0,120,0.3041631468408916,0.5043028756125113,0.20013972877161973
134,atlas,FiO_G,DiO,7,6,5,1.0,5.0,120,0.5844985550418526,0.7845556346290852,0.20005707958723262
617,atlas,FBX|w,D]{,7,0,6,1.0,10.0,120,0.5064089935032777,0.7058580496123525,0.19944905610907482
100,atlas,EXSw,CZ,6,0,2,1.0,5.0,120,0.6757799255619973,0.8749708955141827,0.19919096995218544
214,atlas,FhD@G,DiK,7,4,3,1.0,5.0,120,0.32419995998909196,0.5230901662679988,0.1988902062789068
212,atlas,FhoG_,DmC,7,6,3,1.0,5.0,120,0.4262716268847464,0.6251365048081512,0.1988648779234048
154,atlas,FsaC_,D?O,7,1,0,1.0,10.0,120,0.36694470860765116,0.5657083253722257,0.19876361676457455
155,atlas,FsaC_,D?O,7,2,0,1.0,10.0,120,0.36694470860765116,0.5657083253722257,0.19876361676457455
156,atlas,FsaC_,D?G,7,4,0,1.0,10.0,120,0.36694470860765116,0.5657083253722248,0.19876361676457366
157,atlas,FsaC_,D?G,7,5,0,1.0,10.0,120,0.36694470860765116,0.5657083253722248,0.19876361676457366
33,atlas,EhP?,CG,6,4,1,1.0,10.0,120,0.47393778528529024,0.6724976407925239,0.1985598555072337
34,atlas,EhP?,CG,6,5,1,1.0,10.0,120,0.47393778528529024,0.6724976407925239,0.1985598555072337
31,atlas,EhP?,C_,6,0,1,1.0,10.0,120,0.47393778528529024,0.6724976407925226,0.19855985550723237
690,unit_disk,HovmY]_,Fvt\?,9,3,4,1.0,10.0,120,0.6553493171460183,0.8533661196404235,0.19801680249440523
727,unit_disk,I`?U@SrA?,G_oxW_,10,5,3,0.8571428571428571,10.0,120,0.5691163859901494,0.7669511227407297,0.1978347367505804
