candidate_rank,source,graph6,n,leaf,neighbour,total_time,steps,omega_scale,original_success,reduced_success,absolute_success_difference
6,unit_disk,HzxFFSC,9,8,5,40.0,240,1.0,0.9743953840651831,0.9742199053278323,0.00017547873735079822
6,unit_disk,HzxFFSC,9,8,5,40.0,240,1.1338934190276817,0.9743953840651831,0.9901304782543328,0.015735094189149645
6,unit_disk,HzxFFSC,9,8,5,40.0,240,1.2857142857142858,0.9743953840651831,0.9726121738027024,0.0017832102624807389
7,unit_disk,GWB_k[,8,3,6,5.0,240,1.0,0.5045495303987698,0.4255257175225139,0.07902381287625593
7,unit_disk,GWB_k[,8,3,6,5.0,240,1.1547005383792515,0.5045495303987698,0.45400357126381874,0.05054595913495108
7,unit_disk,GWB_k[,8,3,6,5.0,240,1.3333333333333333,0.5045495303987698,0.40584412046810936,0.09870540993066046
7,unit_disk,GWB_k[,8,3,6,10.0,240,1.0,0.3663449070925475,0.39756800076186094,0.031223093669313418
7,unit_disk,GWB_k[,8,3,6,10.0,240,1.1547005383792515,0.3663449070925475,0.5108445161945471,0.14449960910199955
7,unit_disk,GWB_k[,8,3,6,10.0,240,1.3333333333333333,0.3663449070925475,0.6303180537538167,0.26397314666126914
7,unit_disk,GWB_k[,8,3,6,20.0,240,1.0,0.8545843541473693,0.8499183391104026,0.004666015036966731
7,unit_disk,GWB_k[,8,3,6,20.0,240,1.1547005383792515,0.8545843541473693,0.9069709891288331,0.05238663498146379
7,unit_disk,GWB_k[,8,3,6,20.0,240,1.3333333333333333,0.8545843541473693,0.9243424435506795,0.06975808940331019
7,unit_disk,GWB_k[,8,3,6,40.0,240,1.0,0.9690342477089724,0.9617754662063567,0.007258781502615719
7,unit_disk,GWB_k[,8,3,6,40.0,240,1.1547005383792515,0.9690342477089724,0.9709746175584036,0.001940369849431245
7,unit_disk,GWB_k[,8,3,6,40.0,240,1.3333333333333333,0.9690342477089724,0.9786087197124995,0.009574472003527124
8,unit_disk,IATK`DWQG,10,2,7,5.0,240,1.0,0.3743425201566245,0.31384507674511736,0.060497443411507146
8,unit_disk,IATK`DWQG,10,2,7,5.0,240,1.118033988749895,0.3743425201566245,0.35098838533391047,0.023354134822714034
8,unit_disk,IATK`DWQG,10,2,7,5.0,240,1.25,0.3743425201566245,0.36514179199006414,0.009200728166560368
8,unit_disk,IATK`DWQG,10,2,7,10.0,240,1.0,0.20864904349388602,0.25644151064406745,0.04779246715018143
8,unit_disk,IATK`DWQG,10,2,7,10.0,240,1.118033988749895,0.20864904349388602,0.30706350560649626,0.09841446211261023
8,unit_disk,IATK`DWQG,10,2,7,10.0,240,1.25,0.20864904349388602,0.3900337116069047,0.18138466811301868
8,unit_disk,IATK`DWQG,10,2,7,20.0,240,1.0,0.7869777461415517,0.7533678861950092,0.03360985994654253
8,unit_disk,IATK`DWQG,10,2,7,20.0,240,1.118033988749895,0.7869777461415517,0.8320458658806925,0.04506811973914082
8,unit_disk,IATK`DWQG,10,2,7,20.0,240,1.25,0.7869777461415517,0.8939174613330735,0.10693971519152179
8,unit_disk,IATK`DWQG,10,2,7,40.0,240,1.0,0.9435403659096615,0.9401444044034627,0.003395961506198808
8,unit_disk,IATK`DWQG,10,2,7,40.0,240,1.118033988749895,0.9435403659096615,0.9632176308630627,0.019677264953401163
8,unit_disk,IATK`DWQG,10,2,7,40.0,240,1.25,0.9435403659096615,0.9706610318423119,0.02712066593265039
9,unit_disk,G`k|x{,8,1,0,5.0,240,1.0,0.5520461546005906,0.5056211792969404,0.046424975303650196
9,unit_disk,G`k|x{,8,1,0,5.0,240,1.1547005383792515,0.5520461546005906,0.6639566762241886,0.11191052162359805
9,unit_disk,G`k|x{,8,1,0,5.0,240,1.3333333333333333,0.5520461546005906,0.9996163992718251,0.4475702446712345
9,unit_disk,G`k|x{,8,1,0,10.0,240,1.0,0.7007400481519258,0.6299421633327522,0.0707978848191736
9,unit_disk,G`k|x{,8,1,0,10.0,240,1.1547005383792515,0.7007400481519258,0.9872732274580602,0.2865331793061344
