draw,distance_um,mask_0,mask_1,chi,principal_flux_rad,sin_flux,edge_geometric_mean,two_bit_leakage_ratio,branch_cut_margin_rad
99,9.470104124757052,0.015345552532881307,1.0,0.25971790521268145,1.5921251955051892,0.9997725483026717,2.049106454247616,0.32473448401254756,0.9083993480106387
100,9.497674097715628,0.0,0.9998709777852373,0.25071692672802726,1.6090483437623135,0.9992684808030867,2.0353004239801877,0.3287691696767301,0.8981950793932629
101,9.489166994546295,0.01059277844836942,1.0,0.24494106950295363,1.5434370226133367,0.9996257575825781,2.001216963666478,0.31600062545382485,0.9617610614239176
102,9.477507767499441,0.0,1.0,0.29086765017398075,1.6192067255899496,0.9988284454724143,2.1450703731467278,0.3608152147136561,0.8097496992501605
103,9.410689288746331,0.006390391163736178,1.0,0.2630873051799271,1.6203647584010925,0.9987717368148474,2.0540567082172565,0.33689497497736476,0.9325383225133819
104,9.473585826176752,0.0,0.9950576344850401,0.2630352579495686,1.5259937855272439,0.9989965340168994,2.041980709974854,0.3109352072554394,0.894636409050964
105,9.449820167646129,0.00015145348018857802,0.9902049387999542,0.22993003251701571,1.5993818046190382,0.999591463048887,1.969052387102826,0.3331388899897613,0.887546700013953
106,9.471524838720205,0.0,1.0,0.2500560416724694,1.579813843707316,0.999959342469876,2.0213955444684055,0.32953910494311495,0.9176935845935881
107,9.471362053783281,0.0,0.98916666453155,0.2525584980595919,1.5927176065908155,0.999759738367613,2.030785625284067,0.3298715856240078,0.9147055892079012
108,9.473564492701094,0.001133240677310633,0.9962309967787919,0.255529011817768,1.6013495669272397,0.9995332860668759,2.0439070244385342,0.3400047261674435,0.8742889070294275
109,9.50771047265297,0.004210567619339999,1.0,0.21164807407667935,1.5932139265759464,0.9997487361329885,1.9161203107443332,0.2977342603179957,1.0095563174568416
110,9.519300236290384,0.0,0.991325743224126,0.19581915985381854,1.5027697540169447,0.9976870848444546,1.8586955151607238,0.30166112171121756,0.9770308067942799
111,9.507081484435199,0.0,1.0,0.23625758894237212,1.5429092210882898,0.9996111798671165,1.9755592048458417,0.29555536784290504,0.971069056261241
112,9.467108854001774,0.0,1.0,0.31043788869143635,1.5975034771174272,0.9996433852585197,2.1837361181353683,0.3270177755025015,0.7993806910242731
113,9.44598845669463,0.0032198695320028005,1.0,0.23419208973428693,1.5048854582935127,0.9978286649446542,1.9579506892091982,0.3181498539706778,0.9819904586084793
114,9.51363624167574,0.015127949773005606,1.0,0.23698336780933474,1.567854347919418,0.9999956723832695,1.9864953521011293,0.30454258541317486,0.94821496399355
115,9.448273992865268,0.005354325796753401,0.9932182519338514,0.21475767092369755,1.5071010230766893,0.9979721398824294,1.8959894765359395,0.2808466184687693,0.8526628005604708
116,9.478057018118243,0.0,0.9846205765873753,0.2726111468324478,1.5913197529512206,0.999789401881746,2.0921430618329473,0.35933082092513574,0.810399643151742
117,9.421205297432056,0.006026317823052129,1.0,0.2681854801551058,1.6003551288922082,0.9995631704163387,2.0621013517735785,0.3224632879735281,0.8519762072357757
118,9.436440012735597,0.016618412102944884,1.0,0.26738690161679146,1.5663037857110886,0.999989908554278,2.0582516068368615,0.3295624519229988,0.8410534586953315
119,9.518675132412785,0.0,1.0,0.26500379492178067,1.5060845458848746,0.9979069232752396,2.0572457741484054,0.3277618496824308,0.9315294515199657
120,9.493332453418017,0.0,1.0,0.23936847906929826,1.5607845148320718,0.999949882229248,1.9859158482430572,0.30074207616219495,0.9730858517307488
121,9.413019165066704,0.004097619510296168,1.0,0.2792715024312909,1.601914838811284,0.9995158581755383,2.088968612770339,0.3101256286018046,0.7433459561949936
122,9.485089912648814,0.0,0.9860302710516662,0.2500043881688995,1.5618476896348066,0.9999599612136755,2.0178446553522176,0.31939824185771876,0.9582413221454686
123,9.46551595608227,0.0,0.9889267571991872,0.24827013910009385,1.6008720230148004,0.9995477603393406,2.016935140606108,0.31869017283194323,0.9594248424530778
124,9.465216500947784,0.0007979473485588436,1.0,0.24550505067461564,1.5845019388275368,0.9999060795696167,2.0064054027560374,0.32019732895422515,0.9576408980444739
125,9.43407085629438,0.001619532799898956,1.0,0.27013722765679016,1.585991271807372,0.9998845590442047,2.064762439068444,0.3099838243393296,0.8176635550338678
126,9.469722440896867,0.012070386527172601,1.0,0.23826416680176565,1.556648703847482,0.9998999240517127,1.9775490233068915,0.29632714531219423,0.8538058138636404
127,9.50007599049536,0.0,1.0,0.24840818116286018,1.566362056209005,0.9999901686382948,2.0147141713566263,0.3062690181464292,0.9747752609553455
128,9.474092111382324,0.01792083752196816,1.0,0.266870058823871,1.6050023706060077,0.9994150303238813,2.076647093849511,0.345481502074359,0.9012387052919597
129,9.43376136690327,0.0026375713633252813,0.9828891650801149,0.2269207938772248,1.6440725827780902,0.9973164962129103,1.9690870355056114,0.3365742254049486,0.8710329826000809
130,9.418658758541655,0.0,1.0,0.23252521470869947,1.5612239348514676,0.9999541850060806,1.953569229729224,0.29923353815273473,0.8885600105303193
131,9.419452826893123,0.01369322148105637,1.0,0.26318280263483335,1.6198005864971765,0.99879953152986,2.0563015592638516,0.335706243111185,0.898209461290778
132,9.450244579901609,0.004331139495996852,1.0,0.22172373577694393,1.5729715546460257,0.9999976341928307,1.9355191138050258,0.31433647858529445,0.9790947889472847
133,9.434150767712232,0.0,1.0,0.2470773441152928,1.5281412542756345,0.9990904103198758,1.9911395369953964,0.2562310231258844,0.582381537280054
134,9.496472990164625,0.0,0.9977377426792534,0.23768397538217706,1.5705638423527948,0.9999999729754923,1.983081477184481,0.2975002867449975,0.969032562292726
135,9.486497072195,0.0,0.9903011636558535,0.22363693300977258,1.5246434411602792,0.9989351446136477,1.9376416599436053,0.3115427766581775,0.9781130379230483
136,9.487442059309709,0.0,0.9830631659792693,0.2213554711317174,1.563159133780655,0.9999708367831815,1.9393985300542413,0.31455088513738727,0.9500446043695003
137,9.492114174589352,0.0,1.0,0.18285577335751996,1.5926869656654412,0.9997604095327963,1.8270696175662007,0.2923962454202976,0.9963147082320583
138,9.451730721079313,0.009480211382086916,0.9992713572011106,0.24999166242462223,1.597528301426942,0.9996427220427527,2.0226846709464446,0.33445362034076925,0.9257836962132346
139,9.477702776114649,0.0017162214407163148,1.0,0.24619010377211908,1.5318004987500857,0.9992397590448014,1.9948096556730543,0.26499522954648,0.6982476582369963
140,9.473622562095825,0.0,0.9876992711239148,0.2525820887205585,1.5147511402921838,0.9984298795867451,2.015532972368372,0.32702380316962726,0.9505371838969432
141,9.447731274357505,0.003063125210559179,0.984445752814053,0.22005847049488395,1.5481727585819862,0.9997440979957087,1.9233144253029537,0.3057037773175447,0.9960829492754506
142,9.529343102793318,0.0,1.0,0.22349237643810765,1.4936284749678876,0.9970240385524646,1.9339789035412958,0.2888101187768378,1.002919112947076
