k,horizon,regime,dimension_h0,dimension_h1,response_zero_error,response_min_abs,response_final_abs,rank64_relative_residual,effective_rank_1pct,atom_lower_bound_1pct,effective_rank_5pct,atom_lower_bound_5pct
9,10.0,perturbed,89,55,0.0,0.5249356795751727,0.5817901991988527,3.632210198437313e-16,3,1,2,1
10,10.0,perturbed,144,89,0.0,0.5249362109702682,0.5820273352764488,3.0183113895468437e-16,3,1,2,1
11,10.0,perturbed,233,144,0.0,0.5249361613505695,0.5819124231499198,7.211361413750605e-16,3,1,2,1
12,10.0,perturbed,377,233,0.0,0.5249361657184118,0.5819494402031027,7.578311142394728e-16,3,1,2,1
13,10.0,perturbed,610,377,0.0,0.5249361653756901,0.5819383408731821,5.626314665808942e-16,3,1,2,1
3,20.0,perturbed,5,3,0.0,0.3959742532953766,0.5144654782017141,1.026398952935513e-15,6,2,3,1
4,20.0,perturbed,8,5,0.0,0.44946649104271563,0.6129469323145635,1.0979452782329747e-15,5,2,4,1
5,20.0,perturbed,13,8,0.0,0.33341121386631073,0.3504951684322062,8.613176183206869e-16,6,2,3,1
6,20.0,perturbed,21,13,0.0,0.40682263560103044,0.6110582919108207,6.1212486024421075e-15,5,2,3,1
7,20.0,perturbed,34,21,0.0,0.39731751002427984,0.4102120141087261,6.847933430742273e-15,6,2,3,1
8,20.0,perturbed,55,34,0.0,0.42858834756743774,0.5858552362510457,3.7618298280756755e-15,5,2,3,1
9,20.0,perturbed,89,55,0.0,0.4096543252359801,0.40965432523598017,2.221276238993595e-15,5,2,2,1
10,20.0,perturbed,144,89,0.0,0.45710132757401073,0.5128557396827906,1.4720883959995005e-15,5,2,3,1
11,20.0,perturbed,233,144,0.0,0.4417105399345724,0.4417105399345724,1.1376728102621467e-15,5,2,2,1
12,20.0,perturbed,377,233,0.0,0.4617609063648668,0.48041452067095286,8.604618825710239e-16,5,2,2,1
13,20.0,perturbed,610,377,0.0,0.4593056525918586,0.4593056525918587,5.983426573784767e-16,5,2,2,1
