target_k,horizon,regime,prefix_atoms,max_time_error,relative_l2_time_error,relative_hankel_error
5,20.0,uniform,3,0.21377835676902185,0.20893533050192137,0.23140891316129755
6,20.0,uniform,1,1.2558414205770936,1.2330290120286413,1.286751101232135
6,20.0,uniform,2,0.922874669328591,0.7345099429709839,0.6457125322826052
6,20.0,uniform,3,0.40662792546543014,0.4142186597689318,0.4551055229041437
7,20.0,uniform,1,1.4074247401429716,1.3104907255982,1.3524668864833695
7,20.0,uniform,2,0.6740835589558579,0.6706156385476039,0.6407089032641884
7,20.0,uniform,3,0.2747591791638503,0.28359174910575025,0.32915480182012286
8,20.0,uniform,1,1.226303839329524,1.2372449438040898,1.3073621000083135
8,20.0,uniform,2,0.9210027108439542,0.7550912390691981,0.6673389759581609
8,20.0,uniform,3,0.3784474939430452,0.3811270299921198,0.4089090125648359
9,20.0,uniform,1,1.3373309971506908,1.2858841372519931,1.3316100031457607
9,20.0,uniform,2,0.7630883223010784,0.7008260336106905,0.6514928758208302
9,20.0,uniform,3,0.2949179560468295,0.32354592248391234,0.3662278056705927
10,20.0,uniform,1,1.2587700498529997,1.2584681078241653,1.3209765367513295
10,20.0,uniform,2,0.8513312983171796,0.7345511873418881,0.6582252185882178
10,20.0,uniform,3,0.3306812792254471,0.34886436642777685,0.3840722000853973
11,20.0,uniform,1,1.3057165417046415,1.273827168148935,1.3254361677172095
11,20.0,uniform,2,0.8045309695609825,0.713897277105574,0.6538887052668522
11,20.0,uniform,3,0.31094457662619307,0.33441116874522836,0.3743805238771417
12,20.0,uniform,1,1.2805248972344088,1.2657415633487368,1.3236101953029242
12,20.0,uniform,2,0.8267412640230422,0.7255738883424215,0.6561352750070774
12,20.0,uniform,3,0.317748760073697,0.34012238872079775,0.3782379040662112
13,20.0,uniform,1,1.2924074831765668,1.2701251570046188,1.324472609817726
13,20.0,uniform,2,0.816732327191046,0.7190207851547907,0.654787993503327
13,20.0,uniform,3,0.3152495789999174,0.3377134372320557,0.37664158048303964
3,2.0,perturbed,1,0.10568791588815528,0.04396909956575999,0.0294372331379787
3,2.0,perturbed,2,0.022669266427412734,0.007604889559117882,0.004230742892996791
3,2.0,perturbed,3,0.0,0.0,0.0
